source_term,canonical_zh_cn,status,source_kinds,matched_terms,occurrences
Unityとの連携設定,Unityとの联动设置,composed,heading,Unity|設定|連携,docs/basics/md-interface.md:273
Unityプロジェクト設定,Unityプロジェクト设置,composed,link_text,Unity|設定,docs/basics/workflow-overview.md:165
Unity・3D制作コミュニティ,Unity・3D制作コミュニティ,constrained,bold,Unity|制作,docs/resources/useful-links.md:157
Unity・VRChat SDK 重大エラー,Unity・VRChat SDK 重大エラー,constrained,heading,SDK|Unity|VRChat,docs/workflows/common-issues.md:259
Unity・VRChat SDK更新対応,Unity・VRChat SDK更新适配,composed,bold,SDK|Unity|VRChat|対応,docs/resources/update-log.md:196
Unity・VRChat SDK設定,Unity・VRChat SDK设置,composed,link_text,SDK|Unity|VRChat|設定,docs/unity/fbx-to-vrchat-complete-guide.md:17|docs/unity/project-setup.md:15
Unity・VRChat SDK設定に進む →,Unity・VRChat SDK设置に前往 →,composed,link_text,SDK|Unity|VRChat|設定|進む,docs/setup/md-first-launch.md:249
Unity・VRChat SDK設定ガイド,Unity・VRChat SDK设置指南,composed,heading,SDK|Unity|VRChat|ガイド|設定,docs/setup/unity-vrchat-setup.md:1
Unity上での確認方法,Unity上での确认方法,composed,bold,Unity|確認,docs/optimization/very-poor-escape.md:84
Unity公式リソース,Unity官方资源,composed,bold|admonition,Unity|リソース|公式,docs/resources/useful-links.md:39|docs/unity/avatar-upload.md:412
Unity内,Unity内,constrained,bold,Unity,docs/unity/fbx-to-vrchat-complete-guide.md:323
Unity内での基本調整,Unity内での基本调整,composed,bold,Unity|調整,docs/unity/fbx-to-vrchat-complete-guide.md:515
Unity内での測定,Unity内での測定,constrained,bold,Unity,docs/physics/optimization.md:239
Unity向けの最適化設定,Unity向けの优化设置,composed,admonition,Unity|最適化|設定,docs/basics/md-interface.md:274
Unity学習書,Unity学習書,constrained,bold,Unity,docs/resources/useful-links.md:201
Unity専用形式 ★★,Unity専用形式 ★★,constrained,heading,Unity,docs/basics/terminology.md:303
Unity拡張ツール,Unity拡張工具,composed,bold,Unity|ツール,docs/resources/useful-links.md:113
Unity段階でのマテリアル統合,Unity阶段での材质集成,composed,bold,Unity|マテリアル|段階|統合,docs/physics/optimization.md:123
Unity用,Unity用,constrained,term_def|bold,Unity,docs/basics/file-formats.md:31|docs/basics/file-formats.md:31
Unity用語,Unity用語,constrained,heading|link_text,Unity,docs/basics/terminology.md:115|docs/basics/terminology.md:16
Unity統合,Unity集成,composed,link_text,Unity|統合,docs/index.md:65
Unity統合 →,Unity集成 →,composed,link_text,Unity|統合,docs/workflows/new-garment-creation.md:66
Unity統合での活用,Unity集成での活用,composed,link_text,Unity|活用|統合,docs/basics/ai-features.md:223
Unity統合での活用](../unity/project-setup.md),Unity集成での活用](../unity/project-setup.md),composed,bold,Unity|活用|統合,docs/basics/ai-features.md:223
Unity統合とVRChatアップロード,Unity集成とVRChat上传,composed,link_text,Unity|VRChat|アップロード|統合,docs/workflows/avatar-modification.md:644
Unity統合とVRChatアップロード →,Unity集成とVRChat上传 →,composed,link_text,Unity|VRChat|アップロード|統合,docs/workflows/garment-fitting.md:293
Unity統合とVRChat最適化,Unity集成とVRChat优化,composed,heading,Unity|VRChat|最適化|統合,docs/garments/skirt.md:321
Unity統合に進む,Unity集成に前往,composed,bold,Unity|統合|進む,docs/workflows/garment-fitting.md:292
Unity統合のためのファイル準備,Unity集成のためのファイル準備,composed,bold,Unity|統合,docs/garments/swimwear.md:589
Unity統合の基本フロー,Unity集成の基本フロー,composed,admonition,Unity|統合,docs/basics/workflow-overview.md:162
Unity統合の準備,Unity集成の準備,composed,heading,Unity|統合,docs/garments/swimwear.md:585
Unity統合ガイド →,Unity集成指南 →,composed,link_text,Unity|ガイド|統合,docs/garments/casual-wear.md:445|docs/physics/optimization.md:410
Unity統合ガイドに進む →,Unity集成指南に前往 →,composed,link_text,Unity|ガイド|統合|進む,docs/garments/swimwear.md:670|docs/garments/t-shirt.md:362
Unity統合チェックリスト,Unity集成チェックリスト,composed,bold,Unity|統合,docs/garments/swimwear.md:607
Unity統合プロジェクト設定,Unity集成プロジェクト设置,composed,link_text,Unity|統合|設定,docs/unity/avatar-upload.md:15
Unity統合プロジェクト設定ガイド,Unity集成プロジェクト设置指南,composed,heading,Unity|ガイド|統合|設定,docs/unity/project-setup.md:1
Unity統合・実用化,Unity集成・実用化,composed,bold,Unity|統合,docs/resources/update-log.md:48
Unity統合作業,Unity集成操作,composed,heading,Unity|作業|統合,docs/basics/workflow-overview.md:160
Unity統合問題,Unity集成问题,composed,heading,Unity|問題|統合,docs/workflows/common-issues.md:358
Unity統合完了チェックリスト,Unity集成完成チェックリスト,composed,admonition,Unity|完了|統合,docs/unity/project-setup.md:324
Unity統合完了！,Unity集成完成！,composed,admonition,Unity|完了|統合,docs/unity/project-setup.md:427
Unity統合完全ガイド →,Unity集成完整指南 →,composed,link_text,Unity|完全ガイド|統合,docs/garments/dress.md:470
Unity統合段階での最適化,Unity集成阶段での优化,composed,heading,Unity|最適化|段階|統合,docs/physics/optimization.md:195
Unity統合用のエクスポート,Unity集成用のエクスポート,composed,bold,Unity|統合,docs/garments/t-shirt.md:306
Unity統合＋アップロード,Unity集成＋上传,composed,link_text,Unity|アップロード|統合,docs/index.md:74
Unity表示と実際の差異,Unity显示と実際の差異,composed,heading,Unity|表示,docs/optimization/performance-analysis.md:361
Unity設定,Unity设置,composed,bold,Unity|設定,docs/optimization/very-poor-escape.md:151|docs/unity/project-setup.md:332
Unity関連トラブル,Unity相关トラブル,composed,heading,Unity|関連,docs/setup/software-check.md:160|docs/setup/unity-vrchat-setup.md:224
Unlit Shader,Unlit Shader,untranslated,term_def|bold,,docs/basics/terminology.md:325|docs/basics/terminology.md:325
Update(),Update(),untranslated,term_def|bold,,docs/basics/terminology.md:396|docs/basics/terminology.md:396
Upload」,Upload」,untranslated,bold,,docs/unity/avatar-upload.md:147
Use GPU」,Use GPU」,untranslated,bold,,docs/setup/md-first-launch.md:70
VCCでUnityが認識されない」,VCCでUnityが识别されない」,composed,admonition,Unity|VCC|認識,docs/setup/software-check.md:169
VCCでプロジェクトが作成できない」,VCCでプロジェクトが制作できない」,composed,admonition,VCC|作成|制作,docs/setup/unity-vrchat-setup.md:202
VCCを起動して初期設定を行います,VCCを启动して初期设置を行います,composed,bold,VCC|設定|起動,docs/setup/unity-vrchat-setup.md:27
VCCプロジェクトの確認,VCCプロジェクトの确认,composed,heading,VCC|確認,docs/unity/project-setup.md:43
VCC関連トラブル,VCC相关トラブル,composed,heading,VCC|関連,docs/setup/unity-vrchat-setup.md:200
VRAM Usage (ビデオメモリ使用量),VRAM Usage (ビデオメモリ使用量),untranslated,bold,,docs/unity/fbx-to-vrchat-complete-guide.md:647
VRAM使用量,VRAM使用量,untranslated,term_def|bold,,docs/basics/terminology.md:275|docs/basics/terminology.md:275
VRC Avatar Descriptor」,VRC Avatar Descriptor」,untranslated,bold,,docs/unity/project-setup.md:178
VRC PhysBone,VRC PhysBone,constrained,bold,Bone|PhysBone,docs/unity/fbx-to-vrchat-complete-guide.md:444
VRC-JP Discord,VRC-JP Discord,untranslated,bold,,docs/resources/community.md:63
VRCA,VRCA,untranslated,term_def|bold,,docs/basics/terminology.md:313|docs/basics/terminology.md:313
VRCAvatar Optimizer統合,VRCAvatar Optimizer集成,composed,bold,統合,docs/optimization/performance-analysis.md:324
VRCAvatarDescriptor,VRCAvatarDescriptor,untranslated,term_def|bold,,docs/basics/terminology.md:311|docs/basics/terminology.md:311
VRCWorld,VRCWorld,untranslated,term_def|bold,,docs/basics/terminology.md:312|docs/basics/terminology.md:312
VRChat,VRChat,direct,bold,VRChat,docs/unity/avatar-upload.md:173|docs/workflows/common-issues.md:548
VRChat Analytics,VRChat Analytics,constrained,bold,VRChat,docs/physics/optimization.md:247
VRChat Avatar Descriptorの確認,VRChat Avatar Descriptorの确认,composed,bold,VRChat|確認,docs/setup/unity-vrchat-setup.md:143
VRChat Creator Companion,VRChat Creator Companion,constrained,term_def|bold,VRChat,docs/basics/terminology.md:406|docs/basics/terminology.md:406|docs/setup/software-check.md:70|docs/setup/unity-vrchat-setup.md:29|docs/unity/project-setup.md:48
VRChat Creator Companion（VCC）,VRChat Creator Companion（VCC）,constrained,heading,VCC|VRChat,docs/setup/software-check.md:65
VRChat Creator Docs,VRChat Creator Docs,constrained,term_def|bold,VRChat,docs/setup/unity-vrchat-setup.md:284|docs/setup/unity-vrchat-setup.md:284
VRChat IKシステム完全対応,VRChat IKシステム完全适配,composed,bold,IK|VRChat|完全対応,docs/advanced/ik-joint-mapping.md:42
VRChat Optimize」,VRChat Optimize」,constrained,bold,VRChat,docs/workflows/avatar-modification.md:329
VRChat Performance Rating 基準,VRChat Performance Rating 基準,constrained,admonition,Rating|VRChat,docs/physics/optimization.md:24
VRChat Performance Ratingが悪い」,VRChat Performance Ratingが悪い」,constrained,admonition,Rating|VRChat,docs/workflows/common-issues.md:382
VRChat Quest基準の詳細,VRChat Quest基準の詳細,constrained,heading,Quest|VRChat,docs/optimization/mobile-compatibility.md:52
VRChat SDK Build & Test,VRChat SDK Build & Test,constrained,heading,Build|SDK|Test|VRChat,docs/unity/project-setup.md:243
VRChat SDK Control Panelを開いて設定します,VRChat SDK Control Panelを開いて设置します,composed,bold,Control|Control Panel|Panel|SDK|VRChat|設定,docs/setup/unity-vrchat-setup.md:113
VRChat SDK Release Notes,VRChat SDK Release Notes,constrained,term_def|bold,SDK|VRChat,docs/setup/unity-vrchat-setup.md:285|docs/setup/unity-vrchat-setup.md:285
VRChat SDK3,VRChat SDK3,constrained,term_def|bold,SDK|VRChat,docs/index.md:39|docs/index.md:39
VRChat SDK3 PhysBone設定,VRChat SDK3 PhysBone设置,composed,bold,Bone|PhysBone|SDK|VRChat|設定,docs/unity/fbx-to-vrchat-complete-guide.md:440
VRChat SDK3が認識されない・メニューが表示されない」,VRChat SDK3が识别されない・菜单が显示されない」,composed,admonition,SDK|VRChat|メニュー|表示|認識,docs/workflows/common-issues.md:261
VRChat SDK3の確認,VRChat SDK3の确认,composed,bold,SDK|VRChat|確認,docs/setup/unity-vrchat-setup.md:79
VRChat SDK」,VRChat SDK」,constrained,bold,SDK|VRChat,docs/setup/unity-vrchat-setup.md:80|docs/setup/unity-vrchat-setup.md:81|docs/setup/unity-vrchat-setup.md:115|docs/setup/unity-vrchat-setup.md:140|docs/unity/avatar-upload.md:64|docs/unity/project-setup.md:190
VRChat SDKメニューが表示されない」,VRChat SDK菜单が显示されない」,composed,admonition,SDK|VRChat|メニュー|表示,docs/setup/unity-vrchat-setup.md:226
VRChat SDKメニューが表示されない場合,VRChat SDK菜单が显示されない場合,composed,admonition,SDK|VRChat|メニュー|表示,docs/setup/unity-vrchat-setup.md:84
VRChat SDK更新,VRChat SDK更新,constrained,bold,SDK|VRChat,docs/unity/project-setup.md:381
VRChat SDK最新版,VRChat SDK最新版,constrained,bold,SDK|VRChat,docs/optimization/very-poor-escape.md:344
VRChat SDK測定,VRChat SDK測定,constrained,bold,SDK|VRChat,docs/physics/optimization.md:244
VRChat SDK設定,VRChat SDK设置,composed,heading,SDK|VRChat|設定,docs/basics/workflow-overview.md:176
VRChat アバター・衣装統合の重大エラー,VRChat 头像・服装集成の重大エラー,composed,heading,VRChat|アバター|統合|衣装,docs/workflows/common-issues.md:96
VRChat 公式,VRChat 官方,composed,heading,VRChat|公式,docs/resources/useful-links.md:54
VRChat 日本語コミュニティ,VRChat 日文コミュニティ,composed,term_def|bold,VRChat|日本語,docs/setup/unity-vrchat-setup.md:290|docs/setup/unity-vrchat-setup.md:290
VRChat/Mobile,VRChat/Mobile,constrained,term_def|bold,VRChat,docs/basics/terminology.md:331|docs/basics/terminology.md:331
VRChat/Standard,VRChat/Standard,constrained,term_def|bold,Standard|VRChat,docs/basics/terminology.md:332|docs/basics/terminology.md:332
VRChatでのIK活用,VRChatでのIK活用,constrained,bold,IK|VRChat|活用,docs/advanced/ik-joint-mapping.md:62
VRChatでのアバター選択,VRChatでの头像选择,composed,heading,VRChat|アバター|選択,docs/unity/avatar-upload.md:168
VRChatでのメリット,VRChatでのメリット,constrained,bold,VRChat,docs/advanced/md2025-features.md:91
VRChatでの制約と最適化,VRChatでの制約と优化,composed,heading|bold,VRChat|最適化,docs/basics/basic-concepts.md:141|docs/basics/basic-concepts.md:12
VRChatでの動作確認,VRChatでの動作确认,composed,bold,VRChat|確認,docs/optimization/very-poor-escape.md:214
VRChatでの動的物理,VRChatでの動的物理,constrained,bold,VRChat,docs/basics/basic-concepts.md:136
VRChatでの実用性テスト,VRChatでの実用性テスト,constrained,admonition,VRChat,docs/garments/casual-wear.md:387
VRChatでの性能問題（FPS低下）」,VRChatでの性能问题（FPS低下）」,composed,admonition,VRChat|問題,docs/garments/swimwear.md:737
VRChatでの水着特有の最適化,VRChatでの水着特有の优化,composed,bold,VRChat|最適化,docs/garments/swimwear.md:525
VRChatでパフォーマンスが悪い」,VRChatで性能が悪い」,composed,admonition,VRChat|パフォーマンス,docs/garments/casual-wear.md:553|docs/physics/fabric-properties.md:346
VRChatで他の人に見られるのが恥ずかしい...」,VRChatで他の人に見られるのが恥ずかしい...」,constrained,admonition,VRChat,docs/index.md:96
VRChatで快適動作,VRChatで快適動作,constrained,bold,VRChat,docs/workflows/avatar-modification.md:18
VRChatにおける物理設定の影響,VRChatにおける物理设置の影響,composed,heading,VRChat|物理設定,docs/physics/fabric-properties.md:21
VRChatに適した物理設定,VRChatに適した物理设置,composed,bold,VRChat|物理設定,docs/garments/t-shirt.md:221
VRChatに適した設定,VRChatに適した设置,composed,bold,VRChat|設定,docs/workflows/garment-fitting.md:173
VRChatの制約事項,VRChatの制約事項,constrained,admonition,VRChat,docs/basics/basic-concepts.md:145|docs/basics/workflow-overview.md:178
VRChatの技術制限,VRChatの技术限制,composed,heading,VRChat|制限|技術,docs/basics/basic-concepts.md:143
VRChatの技術的制約,VRChatの技术的制約,composed,heading,VRChat|技術,docs/physics/fabric-properties.md:391
VRChatの評価基準（2025年1月現在）,VRChatの評価基準（2025年1月当前）,composed,heading,VRChat|現在,docs/optimization/very-poor-escape.md:29
VRChatを起動してアバター確認,VRChatを启动して头像确认,composed,bold,VRChat|アバター|確認|起動,docs/unity/avatar-upload.md:172
VRChatアップロード,VRChat上传,composed,link_text,VRChat|アップロード,docs/index.md:66
VRChatアップロードの仕組み,VRChat上传の仕組み,composed,heading,VRChat|アップロード,docs/unity/avatar-upload.md:23
VRChatアバターのFBXファイル,VRChat头像のFBXファイル,composed,bold,VRChat|アバター,docs/index.md:107
VRChatアバターの特徴,VRChat头像の特徴,composed,bold,VRChat|アバター,docs/workflows/avatar-import.md:208
VRChatアバターアップロードとテスト →,VRChat头像上传とテスト →,composed,link_text,VRChat|アップロード|アバター,docs/unity/fbx-to-vrchat-complete-guide.md:1066
VRChatアバターアップロードとテスト手順,VRChat头像上传とテスト步骤,composed,heading,VRChat|アップロード|アバター|手順,docs/unity/avatar-upload.md:1
VRChatイベント用衣装,VRChatイベント用服装,composed,bold,VRChat|衣装,docs/garments/swimwear.md:823
VRChatクリエイターコミュニティ,VRChatクリエイターコミュニティ,constrained,bold,VRChat,docs/resources/update-log.md:489
VRChatクリエイター向け活用テクニック,VRChatクリエイター向け活用テクニック,constrained,heading,VRChat|活用,docs/resources/clo-set-connect.md:125
VRChatシェーダー ★★,VRChatShader ★★,composed,heading,VRChat|シェーダー,docs/basics/terminology.md:330
VRChatテスト,VRChatテスト,constrained,bold,VRChat,docs/garments/dress.md:387
VRChatパフォーマンス,VRChat性能,composed,bold,VRChat|パフォーマンス,docs/garments/swimwear.md:507
VRChatパフォーマンス基準の理解,VRChat性能基準の理解,composed,heading,VRChat|パフォーマンス|理解,docs/physics/optimization.md:20
VRChatパフォーマンス指標 ★★★,VRChat性能指標 ★★★,composed,heading,VRChat|パフォーマンス,docs/basics/terminology.md:236
VRChatパフォーマンス最適化ガイド,VRChat性能优化指南,composed,heading,VRChat|ガイド|パフォーマンス|最適化,docs/physics/optimization.md:1
VRChatパフォーマンス最適化完了確認,VRChat性能优化完成确认,composed,admonition,VRChat|パフォーマンス|完了|最適化|確認,docs/physics/optimization.md:371
VRChatプラットフォーム専門性,VRChatプラットフォーム専門性,constrained,bold,VRChat,docs/unity/fbx-to-vrchat-complete-guide.md:1054
VRChat・SDK用語,VRChat・SDK用語,constrained,heading|link_text,SDK|VRChat,docs/basics/terminology.md:67|docs/basics/terminology.md:15
VRChat互換性,VRChat互換性,constrained,bold,VRChat,docs/workflows/avatar-modification.md:442
VRChat公式,VRChat官方,composed,heading,VRChat|公式,docs/resources/community.md:23
VRChat公式ドキュメント,VRChat官方ドキュメント,composed,bold,VRChat|公式,docs/unity/avatar-upload.md:407
VRChat公式リソース,VRChat官方资源,composed,admonition,VRChat|リソース|公式,docs/resources/useful-links.md:56
VRChat内での公開,VRChat内での公開,constrained,bold,VRChat,docs/resources/useful-links.md:261
VRChat内での確認,VRChat内での确认,composed,heading,VRChat|確認,docs/optimization/very-poor-escape.md:403
VRChat内テスト,VRChat内テスト,constrained,heading,VRChat,docs/basics/workflow-overview.md:193
VRChat内動作確認,VRChat内動作确认,composed,bold,VRChat|確認,docs/unity/avatar-upload.md:281
VRChat制作での活用例,VRChat制作での活用例,constrained,heading,VRChat|制作|活用,docs/resources/clo-set-connect.md:63
VRChat制約下での実現,VRChat制約下での実現,constrained,bold,VRChat,docs/garments/dress.md:34
VRChat動作,VRChat動作,constrained,bold,VRChat,docs/garments/one-piece.md:346
VRChat向けカジュアルウェア最適化,VRChat向けカジュアルウェア优化,composed,admonition,VRChat|最適化,docs/garments/casual-wear.md:361
VRChat向けカスタムプロファイル,VRChat向けカスタムプロファイル,constrained,admonition,VRChat,docs/advanced/md2025-features.md:258
VRChat向けマテリアル最適化,VRChat向け材质优化,composed,admonition,VRChat|マテリアル|最適化,docs/basics/workflow-overview.md:145
VRChat向け最適化のポイント,VRChat向け优化のポイント,composed,heading,VRChat|最適化,docs/workflows/modular-garments.md:57
VRChat向け最適化設定,VRChat向け优化设置,composed,bold,VRChat|最適化|設定,docs/advanced/everywear-integration.md:28
VRChat固有の確認,VRChat固有の确认,composed,bold,VRChat|確認,docs/workflows/avatar-modification.md:355
VRChat実装の挑戦,VRChat実装の挑战,composed,bold,VRChat|挑戦,docs/garments/one-piece.md:35
VRChat対応シェーダーの理解と選択,VRChat适配Shaderの理解と选择,composed,heading,VRChat|シェーダー|対応|理解|選択,docs/unity/fbx-to-vrchat-complete-guide.md:183
VRChat専用パフォーマンス最適化,VRChat専用性能优化,composed,heading,VRChat|パフォーマンス|最適化,docs/garments/swimwear.md:521
VRChat専門書,VRChat専門書,constrained,bold,VRChat,docs/resources/useful-links.md:196
VRChat想定動作での検証,VRChat想定動作での検証,constrained,bold,VRChat,docs/garments/swimwear.md:449
VRChat技術 ★,VRChat技术 ★,composed,heading,VRChat|技術,docs/basics/terminology.md:402
VRChat推奨,VRChat推荐,composed,bold,VRChat|推奨,docs/setup/software-check.md:55
VRChat日本コミュニティ,VRChat日本コミュニティ,constrained,bold,VRChat,docs/resources/useful-links.md:152
VRChat最適化,VRChat优化,composed,heading|link_text|bold,VRChat|最適化,docs/advanced/md2025-features.md:29|docs/basics/file-formats.md:33|docs/garments/dress.md:20|docs/garments/one-piece.md:21|docs/resources/advanced-resources.md:18|docs/unity/project-setup.md:274|docs/workflows/new-garment-creation.md:35
VRChat最適化とパフォーマンス調整,VRChat优化と性能调整,composed,heading,VRChat|パフォーマンス|最適化|調整,docs/garments/casual-wear.md:357
VRChat最適化のための調整,VRChat优化のための调整,composed,bold,VRChat|最適化|調整,docs/garments/swimwear.md:310
VRChat最適化の基本方針,VRChat优化の基本方針,composed,heading,VRChat|最適化,docs/physics/fabric-properties.md:62
VRChat最適化の注意,VRChat优化の注意,composed,bold,VRChat|最適化,docs/garments/skirt.md:240
VRChat最適化の鉄則,VRChat优化の鉄則,composed,admonition,VRChat|最適化,docs/physics/fabric-properties.md:64
VRChat最適化物理設定テンプレート,VRChat优化物理设置テンプレート,composed,admonition,VRChat|最適化|物理設定,docs/physics/optimization.md:157
VRChat最適化物理設定完了チェック,VRChat优化物理设置完成チェック,composed,admonition,VRChat|完了|最適化|物理設定,docs/physics/fabric-properties.md:308
VRChat特化の設定方法が不明,VRChat特化の设置方法が不明,composed,bold,VRChat|設定,docs/advanced/everywear-integration.md:23
VRChat特化ワークフロー,VRChat特化ワークフロー,constrained,heading,VRChat,docs/advanced/everywear-integration.md:143
VRChat特化最適化設定,VRChat特化优化设置,composed,heading,VRChat|最適化|設定,docs/advanced/everywear-integration.md:196
VRChat特有の制限,VRChat特有の限制,composed,bold,VRChat|制限,docs/unity/fbx-to-vrchat-complete-guide.md:295
VRChat特有の注意,VRChat特有の注意,constrained,bold,VRChat,docs/resources/clo-set-connect.md:197
VRChat特有の計算方法,VRChat特有の計算方法,constrained,bold,VRChat,docs/optimization/performance-analysis.md:364
VRChat特有動作テスト,VRChat特有動作テスト,constrained,bold,VRChat,docs/garments/casual-wear.md:395
VRChat環境でのパフォーマンス,VRChat环境での性能,composed,bold,VRChat|パフォーマンス|環境,docs/unity/fbx-to-vrchat-complete-guide.md:976
VRChat用の最適なエクスポート,VRChat用の最適なエクスポート,constrained,bold,VRChat,docs/workflows/garment-fitting.md:204
VRChat用エクスポート,VRChat用エクスポート,constrained,heading,VRChat,docs/garments/t-shirt.md:302|docs/workflows/garment-fitting.md:198
VRChat用形式 ★★,VRChat用形式 ★★,constrained,heading,VRChat,docs/basics/terminology.md:310
VRChat衣装での活用,VRChat服装での活用,composed,bold,VRChat|活用|衣装,docs/basics/basic-concepts.md:85
VRChat衣装での目安,VRChat服装での目安,composed,admonition,VRChat|衣装,docs/basics/basic-concepts.md:55
VRChat衣装制作 Discord,VRChat服装制作 Discord,composed,link_text,VRChat|制作|衣装,docs/index.md:122
VRChat衣装制作」,VRChat服装制作」,composed,bold,VRChat|制作|衣装,docs/setup/md-first-launch.md:126|docs/setup/software-check.md:100
VRChat衣装制作の完全フロー,VRChat服装制作の完全フロー,composed,admonition,VRChat|制作|衣装,docs/basics/workflow-overview.md:24
VRChat衣装制作プロジェクト完全達成チェック,VRChat服装制作プロジェクト完全達成チェック,composed,admonition,VRChat|制作|衣装,docs/unity/avatar-upload.md:273
VRChat衣装制作マスターレベル到達！,VRChat服装制作マスターレベル到達！,composed,admonition,VRChat|制作|衣装,docs/garments/dress.md:438
VRChat衣装制作マスター達成！,VRChat服装制作マスター達成！,composed,admonition,VRChat|制作|衣装,docs/unity/avatar-upload.md:302
VRChat衣装制作完全ガイド,VRChat服装制作完整指南,composed,heading,VRChat|制作|完全ガイド|衣装,docs/index.md:1
VRChat衣装市場の理解,VRChat服装市場の理解,composed,admonition,VRChat|理解|衣装,docs/resources/advanced-resources.md:201
VRChat負荷軽減,VRChat負荷軽減,constrained,bold,VRChat,docs/garments/casual-wear.md:312
VRChat開発に役立つリソース,VRChat开发に役立つ资源,composed,heading,VRChat|リソース|開発,docs/setup/unity-vrchat-setup.md:282
VRChat関連,VRChat相关,composed,heading|bold,VRChat|関連,docs/resources/community.md:33|docs/resources/useful-links.md:291
VRChat非対応アバター改変マスター達成！,VRChat非兼容头像改造マスター達成！,composed,admonition,VRChat|非対応アバター改変,docs/workflows/avatar-modification.md:655
VRChat非対応アバター改変実践ガイド,VRChat非兼容头像改造实践指南,composed,heading,VRChat|ガイド|実践|非対応アバター改変,docs/workflows/avatar-modification.md:1
Version 1.0.0 (2025-08-08) - 初回リリース,Version 1.0.0 (2025-08-08) - 初回リリース,constrained,heading,Version,docs/resources/update-log.md:17
Version 1.0.1 (予定: 2025-08-15),Version 1.0.1 (计划: 2025-08-15),composed,heading,Version|予定,docs/resources/update-log.md:98
Version 1.1.0 (予定: 2025-09-01),Version 1.1.0 (计划: 2025-09-01),composed,heading,Version|予定,docs/resources/update-log.md:113
Version 1.2.0 (予定: 2025-10-01),Version 1.2.0 (计划: 2025-10-01),composed,heading,Version|予定,docs/resources/update-log.md:138
Version 2.0.0 (予定: 2025-12-01),Version 2.0.0 (计划: 2025-12-01),composed,heading,Version|予定,docs/resources/update-log.md:152
Version Control,Version Control,constrained,bold,Control|Version,docs/resources/advanced-resources.md:126
Very Poor,Very Poor,direct,term_def|bold,Very Poor,docs/basics/terminology.md:241|docs/basics/terminology.md:241|docs/optimization/very-poor-escape.md:37
Very Poor → Poor以上,Very Poor → Poor以上,constrained,bold,Poor|Very Poor,docs/optimization/very-poor-escape.md:22
Very Poorによる社会的分離,Very Poorによる社会的分離,constrained,admonition,Poor|Very Poor,docs/optimization/mobile-compatibility.md:32
Very Poor問題,Very Poor问题,composed,bold,Poor|Very Poor|問題,docs/optimization/very-poor-escape.md:229
Very Poor脱却との連携,Very Poor摆脱との联动,composed,link_text,Poor|Very Poor|脱却|連携,docs/advanced/md2025-features.md:548
Very Poor脱却の確実実現,Very Poor摆脱の確実実現,composed,bold,Poor|Very Poor|脱却,docs/advanced/everywear-integration.md:30
Very Poor脱却は社会参加への第一歩,Very Poor摆脱は社会参加への第一歩,composed,admonition,Poor|Very Poor|脱却,docs/optimization/very-poor-escape.md:537
Very Poor脱却完全ガイド - アバター軽量化で仲間はずれから卒業！,Very Poor摆脱完整指南 - 头像軽量化で仲間はずれから卒業！,composed,heading,Poor|Very Poor|アバター|完全ガイド|脱却,docs/optimization/very-poor-escape.md:1
Very Poor脱却実践,Very Poor摆脱实践,composed,link_text,Poor|Very Poor|実践|脱却,docs/optimization/performance-analysis.md:437
Very Poor脱却実践](very-poor-escape.md),Very Poor摆脱实践](very-poor-escape.md),composed,bold,Poor|Very Poor|実践|脱却,docs/optimization/performance-analysis.md:437
Very Poor脱却実践ガイド,Very Poor摆脱实践指南,composed,link_text,Poor|Very Poor|ガイド|実践|脱却,docs/optimization/mobile-compatibility.md:593|docs/optimization/performance-analysis.md:457
Very Poor脱却後の発展学習,Very Poor摆脱後の発展学習,composed,admonition,Poor|Very Poor|脱却,docs/optimization/very-poor-escape.md:515
Very Poor脱却戦略,Very Poor摆脱戦略,composed,link_text,Poor|Very Poor|脱却,docs/advanced/everywear-integration.md:574
Very Poor脱却達成チェックリスト,Very Poor摆脱達成チェックリスト,composed,heading,Poor|Very Poor|脱却,docs/optimization/very-poor-escape.md:487
View Position,View Position,constrained,bold,View,docs/setup/unity-vrchat-setup.md:146|docs/unity/avatar-upload.md:86|docs/unity/project-setup.md:181
View Position精密調整,View Position精密调整,composed,bold,View|調整,docs/unity/fbx-to-vrchat-complete-guide.md:535
View」,View」,constrained,bold,View,docs/basics/md-interface.md:434|docs/setup/md-first-launch.md:171
Visibility」,Visibility」,untranslated,bold,,docs/unity/avatar-upload.md:139
Waist（ウエスト）,Waist（ウエスト）,untranslated,bold,,docs/workflows/avatar-modification.md:190
Weld Identical,Weld Identical,untranslated,bold,,docs/garments/t-shirt.md:313
Window」,Window」,constrained,bold,Window,docs/basics/md-interface.md:136|docs/basics/md-interface.md:324|docs/basics/md-interface.md:326|docs/basics/md-interface.md:337|docs/basics/md-interface.md:428|docs/basics/md-interface.md:429|docs/basics/md-interface.md:435|docs/setup/md-first-launch.md:229
YouTube Channels,YouTube Channels,untranslated,bold,,docs/resources/useful-links.md:97
YouTube チャンネル（日本語）,YouTube チャンネル（日文）,composed,bold,日本語,docs/resources/useful-links.md:79
YouTube チュートリアル集,YouTube チュートリアル集,untranslated,link_text,,docs/index.md:124
ZPRJファイル,ZPRJファイル,untranslated,term_def|bold,,docs/basics/terminology.md:291|docs/basics/terminology.md:291
Zone A: バストエリア（最重要）,Zone A: バストエリア（最重要）,untranslated,bold,,docs/garments/swimwear.md:110
